0	1	0	0	6.28	-19.7592
0.01	0.998026	0.0628	-0.394395	6.2676	-19.7592
0.02	0.992112	0.125352	-0.787232	6.23046	-19.7592
0.03	0.982281	0.187409	-1.17696	6.16873	-19.7592
0.04	0.968573	0.248727	-1.56204	6.08264	-19.7592
0.05	0.951041	0.309062	-1.94096	5.97253	-19.7592
0.06	0.929754	0.368177	-2.31222	5.83885	-19.7591
0.07	0.904796	0.425839	-2.67434	5.68212	-19.7591
0.08	0.876267	0.48182	-3.02591	5.50296	-19.7591
0.09	0.844278	0.535898	-3.36553	5.30207	-19.7591
0.1	0.808956	0.587861	-3.69187	5.08025	-19.759
0.11	0.770441	0.637503	-4.00363	4.83837	-19.759
0.12	0.728884	0.684628	-4.29958	4.57739	-19.759
0.13	0.684449	0.729051	-4.57856	4.29834	-19.7589
0.14	0.637312	0.770595	-4.83947	4.00232	-19.7589
0.15	0.58766	0.809097	-5.08127	3.6905	-19.7589
0.16	0.535687	0.844405	-5.30301	3.36411	-19.7588
0.17	0.4816	0.87638	-5.50381	3.02445	-19.7588
0.18	0.425611	0.904894	-5.68289	2.67284	-19.7588
0.19	0.367942	0.929836	-5.83953	2.31068	-19.7588
0.2	0.30882	0.951108	-5.97312	1.93939	-19.7587
0.21	0.24848	0.968624	-6.08312	1.56045	-19.7587
0.22	0.187158	0.982317	-6.16911	1.17535	-19.7587
0.23	0.125097	0.992131	-6.23075	0.785611	-19.7587
0.24	0.0625428	0.998029	-6.26779	0.392769	-19.7587
0.25	-0.0002585	0.999987	-6.28008	-0.00162338	-19.7587
0.26	-0.0630588	0.997996	-6.26759	-0.396009	-19.7587
0.27	-0.12561	0.992066	-6.23034	-0.788832	-19.7587
0.28	-0.187666	0.98222	-6.16851	-1.17854	-19.7587
0.29	-0.24898	0.968496	-6.08231	-1.5636	-19.7587
0.3	-0.309312	0.950948	-5.97211	-1.94248	-19.7587
0.31	-0.368423	0.929646	-5.83833	-2.31369	-19.7588
0.32	-0.426079	0.904674	-5.6815	-2.67577	-19.7588
0.33	-0.482053	0.876131	-5.50225	-3.02729	-19.7588
0.34	-0.536124	0.844128	-5.30127	-3.36686	-19.7588
0.35	-0.588078	0.808793	-5.07936	-3.69313	-19.7589
0.36	-0.637711	0.770266	-4.8374	-4.00482	-19.7589
0.37	-0.684826	0.728697	-4.57634	-4.30071	-19.7589
0.38	-0.729238	0.684251	-4.29721	-4.57961	-19.759
0.39	-0.77077	0.637105	-4.00112	-4.84044	-19.759
0.4	-0.80926	0.587443	-3.68924	-5.08215	-19.759
0.41	-0.844555	0.535462	-3.36279	-5.30381	-19.7591
0.42	-0.876516	0.481367	-3.02306	-5.50452	-19.7591
0.43	-0.905016	0.425371	-2.6714	-5.6835	-19.7591
0.44	-0.929944	0.367697	-2.3092	-5.84005	-19.7591
0.45	-0.9512	0.30857	-1.93787	-5.97354	-19.7592
0.46	-0.968701	0.248226	-1.5589	-6.08344	-19.7592
0.47	-0.982378	0.186901	-1.17377	-6.16934	-19.7592
0.48	-0.992177	0.124839	-0.784011	-6.23087	-19.7592
0.49	-0.998058	0.062284	-0.391154	-6.26781	-19.7592
0.5	-1	-0.000516994	0.00324681	-6.28	-19.7592
0.51	-0.997993	-0.063316	0.397635	-6.2674	-19.7592
0.52	-0.992047	-0.125865	0.790453	-6.23006	-19.7592
0.53	-0.982184	-0.187917	1.18015	-6.16812	-19.7592
0.54	-0.968444	-0.249227	1.56519	-6.08183	-19.7592
0.55	-0.950881	-0.309554	1.94405	-5.97153	-19.7592
0.56	-0.929563	-0.368658	2.31523	-5.83766	-19.7591
0.57	-0.904576	-0.426307	2.67728	-5.68074	-19.7591
0.58	-0.876018	-0.482273	3.02875	-5.50139	-19.7591
0.59	-0.844001	-0.536335	3.36827	-5.30033	-19.7591
0.6	-0.808652	-0.588279	3.69449	-5.07834	-19.759
0.61	-0.770111	-0.637901	4.00613	-4.8363	-19.759
0.62	-0.72853	-0.685005	4.30195	-4.57517	-19.759
0.63	-0.684072	-0.729405	4.58078	-4.29597	-19.7589
0.64	-0.636914	-0.770925	4.84154	-3.99982	-19.7589
0.65	-0.587241	-0.809401	5.08317	-3.68788	-19.7589
0.66	-0.53525	-0.844682	5.30475	-3.36137	-19.7588
0.67	-0.481146	-0.876629	5.50537	-3.0216	-19.7588
0.68	-0.425143	-0.905114	5.68427	-2.6699	-19.7588
0.69	-0.367461	-0.930026	5.84072	-2.30766	-19.7588
0.7	-0.308329	-0.951267	5.97412	-1.9363	-19.7587
0.71	-0.247979	-0.968753	6.08393	-1.55731	-19.7587
0.72	-0.18665	-0.982413	6.16972	-1.17216	-19.7587
0.73	-0.124584	-0.992196	6.23116	-0.78239	-19.7587
0.74	-0.0620268	-0.998061	6.26799	-0.389529	-19.7587
0.75	0.000775501	-0.999986	6.28008	0.00487015	-19.7587
0.76	0.0635748	-0.997964	6.26738	0.39925	-19.7587
0.77	0.126123	-0.992001	6.22993	0.792053	-19.7587
0.78	0.188173	-0.982123	6.1679	1.18173	-19.7587
0.79	0.249481	-0.968367	6.08151	1.56674	-19.7587
0.8	0.309804	-0.950788	5.97111	1.94557	-19.7587
0.81	0.368903	-0.929455	5.83714	2.31671	-19.7588
0.82	0.426546	-0.904454	5.68012	2.67871	-19.7588
0.83	0.482506	-0.875881	5.50068	3.03013	-19.7588
0.84	0.53656	-0.843851	5.29953	3.3696	-19.7588
0.85	0.588496	-0.808489	5.07745	3.69576	-19.7589
0.86	0.638109	-0.769936	4.83533	4.00732	-19.7589
