0	1	0	0	6.28	-19.7592	6.28
0.01	0.998027	0.0627587	-0.394525	6.26761	-19.7592	6.28
0.02	0.992115	0.12527	-0.787498	6.23048	-19.7592	6.28
0.03	0.982287	0.187286	-1.17737	6.16876	-19.7592	6.28
0.04	0.968583	0.248564	-1.56261	6.08269	-19.7592	6.28
0.05	0.951055	0.30886	-1.94171	5.97261	-19.7592	6.28
0.06	0.929774	0.367937	-2.31316	5.83895	-19.7592	6.28
0.07	0.904823	0.425562	-2.6755	5.68223	-19.7592	6.28
0.08	0.876299	0.481507	-3.02731	5.50306	-19.7592	6.28
0.09	0.844316	0.535551	-3.3672	5.30215	-19.7592	6.28
0.1	0.808999	0.58748	-3.69384	5.08028	-19.7592	6.28
0.11	0.770488	0.63709	-4.00592	4.83833	-19.7592	6.28
0.12	0.728934	0.684183	-4.30221	4.57723	-19.7592	6.28
0.13	0.6845	0.728574	-4.58155	4.29803	-19.7592	6.28
0.14	0.637363	0.770087	-4.84283	4.0018	-19.7592	6.28
0.15	0.587707	0.808557	-5.08502	3.68972	-19.7592	6.28
0.16	0.535729	0.843832	-5.30714	3.36301	-19.7592	6.28
0.17	0.481634	0.875773	-5.50833	3.02295	-19.7592	6.28
0.18	0.425635	0.904251	-5.68777	2.67089	-19.7592	6.28
0.19	0.367954	0.929155	-5.84476	2.3082	-19.7592	6.28
0.2	0.308817	0.950385	-5.97866	1.93633	-19.7592	6.28
0.21	0.248459	0.967856	-6.08894	1.55672	-19.7592	6.28
0.22	0.187118	0.981498	-6.17516	1.17089	-19.7592	6.28
0.23	0.125037	0.991258	-6.23695	0.780356	-19.7592	6.28
0.24	0.0624616	0.997095	-6.27408	0.386657	-19.7592	6.28
0.25	-0.000361381	0.998986	-6.28637	-0.00864797	-19.7592	6.28
0.26	-0.0631829	0.996922	-6.27379	-0.403994	-19.7592	6.28
0.27	-0.125754	0.990911	-6.23635	-0.797816	-19.7592	6.28
0.28	-0.187828	0.980976	-6.17422	-1.18855	-19.7592	6.28
0.29	-0.249157	0.967155	-6.08761	-1.57465	-19.7592	6.28
0.3	-0.309499	0.949503	-5.97687	-1.95459	-19.7592	6.28
0.31	-0.368615	0.928089	-5.84242	-2.32685	-19.7592	6.28
0.32	-0.42627	0.902997	-5.6848	-2.68995	-19.7592	6.28
0.33	-0.482236	0.874325	-5.50461	-3.04245	-19.7592	6.28
0.34	-0.53629	0.842188	-5.30257	-3.38295	-19.7592	6.28
0.35	-0.588217	0.806711	-5.07947	-3.71009	-19.7592	6.28
0.36	-0.637812	0.768035	-4.83619	-4.02257	-19.7592	6.28
0.37	-0.684877	0.726313	-4.57369	-4.31913	-19.7592	6.28
0.38	-0.729225	0.681709	-4.29301	-4.59861	-19.7592	6.28
0.39	-0.77068	0.634401	-3.99526	-4.85987	-19.7592	6.28
0.4	-0.809077	0.584576	-3.68162	-5.10188	-19.7592	6.28
0.41	-0.844263	0.532431	-3.35333	-5.32367	-19.7592	6.28
